,base_rate,BANF,BOKF,CADE,COF,C,CMA,DFS,EWBC,FITB,FCNCA,FHN,GS,HWC,HBAN,JPM,KEY,MS,NTRS,PNC,RF,STT,SNV,USB,WBS,WFC,ZION,SYF,ALLY,SCHW,BK,SSB,TFC,VLY,WASH,HTBK,MBWM,OSBC,GSBC,CAC,GABC,TRST,CHCO,BRKL,PGC,WABC,LKFN,MOFG,RBCAA,MCB,UNTY,MCBC,NRIM,ISTR,PCB,GNTY,ORRF,FCBC,BHB,SFST,BAC,AXP,CFG,MTB,RJF,WAL,BPOP,WTFC,COLB,CFR,ONB,PNFP,FNB,UMBF,ASB,PB,BANC,SF,BKU,CBSH,FIBK,UBSI,TCBI,GBCI,SFNC,UCBI,FHB,BOH,CATY,HOMB,WAFD,AX,CUBI,AUB,WSFS,HTLF,INDB,HOPE,IBTX,PPBI
2018/03,1.625,46.171,84.129,24.976,85.525,54.265,71.852,62.199,53.906,24.809,404.512,14.683,218.339,43.169,11.198,91.755,14.654,44.581,85.254,121.624,14.494,81.633,39.098,39.305,44.652,43.692,43.111,28.366,22.598,47.874,42.994,73.075,39.989,9.404,38.685,12.173,25.476,13.126,40.59,35.381,28.556,32.431,56.872,12.715,31.908,48.231,39.422,27.005,31.763,42.11,19.763,8.38,26.719,23.156,14.7,28.169,19.661,23.568,22.013,44.5,25.735,85.366,32.046,151.283,53.851,52.092,34.494,77.445,31.914,88.172,13.756,59.823,10.275,64.347,19.587,60.006,16.739,36.069,32.981,46.633,29.47,26.944,89.9,31.516,23.061,26.351,21.227,65.682,32.222,19.166,28.691,40.53,29.15,29.996,44.307,46.025,59.484,13.635,61.221,31.984
2018/06,1.875,51.681,80.246,25.987,82.382,54.053,68.305,61.158,56.366,22.541,395.09,13.995,191.89,39.134,11.021,87.382,14.733,39.35,85.389,109.182,13.933,76.525,41.558,39.167,51.622,46.566,43.258,28.372,21.973,46.927,45.192,74.173,39.059,9.255,42.148,12.632,28.493,13.608,46.741,36.549,30.826,34.684,62.813,14.683,33.105,47.265,41.314,27.562,37.799,52.48,20.491,9.959,30.792,24.802,17.25,27.974,21.275,25.719,24.214,44.2,24.38,90.022,29.853,140.826,53.969,50.748,37.885,78.506,31.313,90.508,15.248,57.293,10.434,68.017,21.634,56.746,17.06,31.882,33.879,50.556,31.657,28.076,91.5,31.958,24.356,25.628,22.32,66.404,32.816,19.046,27.259,40.91,28.38,31.935,49.407,47.701,65.521,13.465,57.957,30.353
2018/09,2.125,52.52,83.459,25.896,85.455,58.312,68.006,66.741,52.375,22.065,443.429,13.626,195.729,40.077,11.221,95.141,15.118,38.889,85.093,110.824,14.447,69.18,36.182,41.602,48.022,44.47,41.404,26.605,22.245,45.253,42.954,70.816,37.882,8.637,40.413,11.176,25.877,14.61,45.449,34.963,30.459,33.125,64.499,13.257,29.609,50.647,40.056,27.337,38.674,41.12,20.689,9.653,32.542,24.118,16.228,25.776,19.57,27.527,23.115,39.3,25.479,98.172,29.8,136.96,55.785,50.999,42.946,76.767,29.869,87.852,15.925,56.297,9.978,63.492,20.719,57.853,16.602,31.345,29.514,51.752,33.824,28.294,82.65,35.834,24.103,23.411,21.062,63.266,33.78,18.585,26.818,34.39,23.53,31.826,43.801,50.602,69.363,12.313,57.64,29.597
2018/12,2.375,43.934,63.263,20.804,68.348,42.607,52.118,51.786,37.931,18.714,369.951,10.457,146.401,29.358,9.045,82.885,11.341,33.338,70.011,95.86,10.608,52.366,25.413,36.251,40.369,39.303,33.841,20.227,19.173,38.34,39.897,52.038,34.084,6.881,35.008,8.558,22.067,12.302,38.017,29.159,24.09,26.933,57.175,11.046,24.179,47.195,34.825,20.515,32.646,30.85,18.811,7.981,25.898,22.315,13.156,25.549,15.069,25.733,18.195,32.07,21.413,88.191,23.143,119.849,45.241,35.401,39.765,60.239,28.258,74.47,12.795,43.28,7.796,54.81,15.888,52.226,11.77,25.391,25.119,46.708,27.786,24.429,51.09,33.144,19.843,18.107,17.626,54.397,27.552,13.952,22.528,25.18,18.2,23.473,35.308,38.411,59.315,9.125,39.886,20.304
2019/03,2.375,46.193,70.763,22.592,74.239,51.28,56.095,62.831,41.992,20.248,399.947,11.202,168.937,34.46,9.734,86.648,12.086,35.735,76.201,101.37,11.321,55.049,27.516,38.538,41.748,41.587,37.948,27.697,23.408,39.622,42.969,59.66,36.905,7.507,35.816,9.214,26.44,11.923,43.786,34.089,25.648,30.998,64.951,11.587,25.224,52.719,39.443,22.66,37.935,34.79,17.164,8.304,27.341,20.476,14.712,25.18,15.507,27.256,21.156,33.87,24.234,101.54,25.533,131.48,49.113,36.79,44.098,61.212,25.745,82.737,13.726,51.504,8.398,57.84,17.265,58.256,12.351,32.431,28.205,48.108,30.497,28.751,54.59,33.965,20.245,21.18,20.594,64.213,27.864,15.096,24.531,28.96,18.31,27.075,36.043,37.441,68.718,10.161,44.9,21.261
2019/06,2.375,49.589,65.885,23.381,82.831,58.088,56.03,68.86,41.159,22.599,442.664,12.077,180.845,34.38,10.715,96.428,13.897,37.332,76.353,114.27,12.06,47.228,28.249,42.23,39.657,41.12,38.674,30.288,26.539,37.386,37.837,64.66,39.297,8.539,39.186,9.419,26.531,12.102,50.802,37.745,26.426,31.637,65.453,12.464,27.099,52.896,41.108,23.416,42.46,44.0,20.708,8.628,28.554,21.554,14.417,27.011,18.475,27.972,21.923,39.16,25.472,115.082,28.026,144.123,51.862,40.089,46.402,66.731,28.811,80.428,13.998,54.272,9.515,59.719,17.239,56.029,12.578,36.403,28.664,49.636,30.564,29.693,61.37,34.583,19.358,24.412,20.659,68.067,30.014,16.669,29.843,27.25,21.0,29.783,38.671,39.414,64.961,10.815,48.328,24.931
2019/09,1.875,49.645,69.521,23.984,83.415,57.731,51.392,72.365,39.199,22.374,464.016,13.23,184.319,33.101,11.181,102.226,14.131,36.644,79.713,117.636,12.897,50.29,29.122,44.919,39.226,44.325,37.757,29.967,28.541,39.088,39.001,66.472,43.104,8.702,36.637,9.137,26.931,11.59,48.602,35.888,28.276,32.852,65.902,12.033,27.062,53.738,38.87,25.741,37.295,39.33,20.285,8.798,32.046,21.559,13.969,26.673,18.525,27.025,20.754,39.85,25.76,110.616,28.305,134.785,50.79,41.553,46.266,59.173,29.625,76.706,14.624,53.724,9.321,58.874,16.661,60.28,12.786,35.466,28.748,50.672,31.3,30.598,54.65,34.735,20.865,24.383,21.539,71.116,29.308,16.388,31.795,27.65,20.74,31.6,41.415,39.581,64.058,11.362,46.474,25.357
2019/12,1.625,56.257,77.237,25.602,94.741,67.242,56.453,76.093,43.372,25.342,524.146,13.64,205.662,38.225,11.937,122.054,16.032,44.231,91.407,135.072,14.142,67.796,32.185,48.492,45.027,47.73,44.33,31.853,26.447,44.619,43.71,77.009,45.86,9.257,41.221,10.065,30.212,12.786,54.36,38.429,31.585,35.264,71.372,13.543,29.882,58.935,43.529,30.74,40.409,48.23,20.751,9.486,31.226,21.795,14.743,28.841,19.267,26.1,21.316,42.49,31.308,116.869,32.825,145.797,55.326,51.65,50.536,65.152,32.896,85.346,15.663,60.748,10.383,62.879,18.285,61.714,15.598,37.577,31.463,57.011,32.842,31.507,56.77,39.769,22.591,26.72,23.488,79.344,32.367,17.258,31.683,30.28,23.81,32.072,41.425,44.172,71.861,11.889,49.204,26.674
2020/03,0.125,30.218,37.855,15.513,46.598,35.687,23.309,32.188,23.058,12.338,328.073,6.697,139.119,17.119,6.563,79.333,8.293,29.611,65.347,81.603,7.462,45.956,14.528,28.375,19.49,25.734,23.017,14.327,12.562,31.66,29.444,52.439,25.322,5.967,28.282,6.084,17.674,6.564,35.456,26.427,24.474,22.178,58.346,9.35,17.387,51.442,32.897,17.899,28.678,26.93,10.794,6.114,22.198,11.626,8.401,20.408,11.822,19.767,14.647,28.37,18.975,80.648,15.362,89.516,39.247,27.857,30.273,30.326,21.944,49.095,11.391,35.725,6.084,42.683,10.721,41.687,7.29,25.653,16.189,42.408,23.178,18.985,22.17,29.735,15.611,15.935,13.579,46.445,19.711,10.595,22.583,18.13,10.93,18.837,23.535,26.925,55.852,6.641,21.111,15.543
2020/06,0.125,37.093,50.747,18.809,58.228,43.755,30.819,45.706,32.72,16.275,399.662,8.404,178.955,18.744,7.357,83.746,9.852,42.436,69.386,90.743,9.35,55.381,17.32,30.688,24.726,23.42,29.581,19.954,17.447,31.939,34.085,42.958,31.276,6.477,25.689,6.054,19.049,7.399,35.737,29.331,27.922,26.192,57.643,8.467,18.193,50.581,42.049,17.287,28.669,32.08,13.257,6.792,20.906,13.266,8.939,22.99,12.805,19.275,19.225,27.71,21.363,90.18,20.977,90.9,42.99,34.768,32.592,40.554,23.521,66.341,12.003,40.116,6.364,47.697,11.61,51.782,9.922,29.578,17.722,50.292,25.16,23.103,30.87,31.129,14.68,17.693,14.392,52.151,22.588,13.718,23.563,22.08,12.02,20.15,27.231,30.035,58.628,7.569,36.449,18.128
